State,NewDeaths,Population
AK,5,731545
AL,154,4903185
AR,46,3017804
AZ,175,7278717
CA,561,39512223
CO,89,5758736
CT,114,3565287
DC,12,705749
DE,18,973764
FL,185,21477737
GA,137,10617423
HI,4,1415872
IA,78,3155070
ID,20,1787065
IL,181,12671821
IN,90,6732219
KS,58,2913314
KY,69,4467673
LA,66,4648794
MA,175,6892503
MD,56,6045680
ME,12,1344212
MI,145,9986857
MN,67,5639632
MO,78,6137428
MP,0,53605
MS,51,2976149
MT,15,1068778
NC,107,10488084
ND,21,762062
NE,29,1934408
NH,13,1359711
NJ,278,8882190
NM,37,2096829
NV,45,3080156
NY,978,19453561
OH,222,11689100
OK,245,3956971
OR,28,4217737
PA,222,12801989
PR,15,3193694
RI,20,1059361
SC,106,5148714
SD,26,884659
TN,133,6829174
TX,342,28995881
UT,17,3205958
VA,217,8535519
VT,3,623989
WA,39,7614893
WI,68,5822434
WV,29,1792147
WY,10,578759
